Rating Name MC "MD, %"
1 "Bitcoin (Биткоин)" 115,639,146,814,518 55.25
2 "Ethereum (Эфириум)" 35,142,249,064,252 16.79
3 "Tether (Тезер)" 10,161,940,667,569 4.86
4 BNB 8,261,174,763,699 3.95
5 "Solana (Солана)" 5,995,983,156,423 2.86
6 USDC 3,077,073,033,667 1.47
7 XRP 2,656,635,448,386 1.27
8 "Dogecoin (Догекоин)" 1,982,022,916,597 0.95
9 "Toncoin (Тонкоин)" 1,727,245,989,723 0.83
10 "Cardano (Кардано)" 1,541,993,323,277 0.74
11 "Shiba Inu (Шиба-ину)" 1,347,251,092,731 0.64
12 "Avalanche (Аваланч)" 1,225,949,817,271 0.59
13 "TRON (ТРОН)" 919,474,579,750 0.44
14 "Polkadot (Полькадот)" 906,014,789,413 0.43
15 "Bitcoin Cash (Биткоин-кэш)" 860,918,640,254 0.41
16 "Chainlink (Чейнлинк)" 793,148,838,695 0.38
17 "NEAR Protocol" 657,744,811,324 0.31
18 "Polygon (Полигон)" 638,741,224,282 0.31
19 "Internet Computer (Интернет-компьютер)" 576,834,008,024 0.28
20 "Litecoin (Лайткоин)" 566,243,110,854 0.27
21 Dai 491,995,898,181 0.24
22 "UNUS SED LEO" 491,600,918,441 0.23
23 "Uniswap (Юнисвап)" 426,903,238,850 0.2
24 "First Digital USD" 405,875,973,990 0.19
25 Hedera 372,334,034,123 0.18
26 Stacks 364,353,864,726 0.17
27 "Ethereum Classic" 351,052,045,626 0.17
28 Aptos 349,007,222,872 0.17
29 Mantle 330,141,664,712 0.16
30 Cronos 305,456,503,267 0.15
31 Stellar 302,198,995,948 0.14
32 Cosmos 301,395,081,361 0.14
33 Render 296,018,100,427 0.14
34 Filecoin 296,825,159,604 0.14
35 OKB 294,986,110,676 0.14
36 Immutable 290,649,797,642 0.14
37 Pepe 282,193,474,549 0.13
38 Bittensor 280,581,551,118 0.13
39 dogwifhat 268,137,083,446 0.13
40 Arbitrum 267,258,247,508 0.13
41 VeChain 261,795,465,650 0.13
42 Kaspa 253,258,954,817 0.12
43 Maker 241,038,855,863 0.12
44 "The Graph" 229,779,217,927 0.11
45 Optimism 230,296,596,316 0.11
46 Injective 225,857,432,026 0.11
47 "Theta Network" 211,755,677,359 0.1
48 Monero 201,759,978,251 0.1
49 Arweave 188,068,778,279 0.09
50 Core 188,702,169,616 0.09
51 Fantom 185,276,004,820 0.09
52 Celestia 178,220,709,176 0.09
53 Fetch.ai 175,353,812,236 0.08
54 THORChain 163,361,382,306 0.08
55 "Lido DAO" 162,478,310,556 0.08
56 FLOKI 160,362,178,134 0.08
57 "Bitget Token" 154,934,627,856 0.07
58 Sei 153,282,428,957 0.07
59 Algorand 151,042,868,838 0.07
60 Bonk 145,551,560,206 0.07
61 Sui 144,872,495,003 0.07
62 Beam 132,871,961,188 0.06
63 Pendle 131,896,312,684 0.06
64 Jupiter 129,419,715,950 0.06
65 Gala 128,327,679,337 0.06
66 Flow 126,247,508,032 0.06
67 Aave 121,406,417,580 0.06
68 "Bitcoin SV" 120,690,588,110 0.06
69 Quant 118,716,471,207 0.06
70 Neo 114,810,353,667 0.05
71 Ethena 111,791,660,852 0.05
72 "BitTorrent (New)" 111,243,729,028 0.05
73 SingularityNET 109,344,367,505 0.05
74 Flare 108,542,192,580 0.05
75 Ondo 105,435,962,477 0.05
76 "Akash Network" 103,698,348,768 0.05
77 MultiversX 101,794,335,985 0.05
78 "Axie Infinity" 96,335,319,732 0.05
79 "The Sandbox" 94,444,574,231 0.05
80 Chiliz 94,073,059,385 0.04
81 "dYdX (Native)" 93,041,957,717 0.04
82 Ronin 92,152,630,197 0.04
83 eCash 91,305,495,037 0.04
84 Tezos 90,100,504,186 0.04
85 Wormhole 88,128,353,796 0.04
86 EOS 88,538,829,185 0.04
87 Conflux 87,549,196,946 0.04
88 "KuCoin Token" 87,700,318,964 0.04
89 Worldcoin 85,275,061,795 0.04
90 Mina 84,957,507,472 0.04
91 JasmyCoin 84,924,634,634 0.04
92 Synthetix 84,614,464,363 0.04
93 ORDI 83,347,147,856 0.04
94 "Pyth Network" 82,880,651,566 0.04
95 Gnosis 79,398,948,790 0.04
96 Decentraland 79,254,893,513 0.04
97 Starknet 77,352,131,181 0.04
98 "Nervos Network" 72,861,084,825 0.03
99 Kava 71,664,527,804 0.03
100 "AIOZ Network" 69,928,902,976 0.03
